type;timestamp;value;commit_hash;deployment_id;deployment_failure_id;ai_rework_commit
SATISFACTION;2026-01-01 09:00:00;4,2;;;;
SATISFACTION;2026-01-02 09:00:00;4,5;;;;
SATISFACTION;2026-01-03 09:00:00;3,8;;;;
SATISFACTION;2026-01-04 09:00:00;4,1;;;;
SATISFACTION;2026-01-05 09:00:00;4,6;;;;
SATISFACTION;2026-01-06 09:00:00;4,3;;;;
SATISFACTION;2026-01-07 09:00:00;4,7;;;;
SATISFACTION;2026-01-08 09:00:00;4,4;;;;
TEAM_SIZE_CHANGE;2026-01-01 10:00:00;5;;;;
TEAM_SIZE_CHANGE;2026-01-03 10:00:00;1;;;;
TEAM_SIZE_CHANGE;2026-01-05 10:00:00;-1;;;;
TEAM_SIZE_CHANGE;2026-01-07 10:00:00;1;;;;
DEPLOYMENT;2026-01-02 11:00:00;1;;;;
DEPLOYMENT;2026-01-03 15:00:00;1;;;;
DEPLOYMENT;2026-01-05 10:30:00;1;;;;
DEPLOYMENT;2026-01-06 14:00:00;1;;;;
DEPLOYMENT;2026-01-08 11:00:00;1;;;;
DEPLOYMENT;2026-01-09 16:00:00;1;;;;
DEPLOYMENT;2026-01-10 13:30:00;1;;;;
DEPLOYMENT_FAILURE;2026-01-03 16:30:00;1;;14;;
DEPLOYMENT_FAILURE;2026-01-06 15:45:00;1;;16;;
DEPLOYMENT_FAILURE;2026-01-10 14:15:00;1;;19;;
DEPLOYMENT_FAILURE_FIX;2026-01-03 18:00:00;1;;;20;
DEPLOYMENT_FAILURE_FIX;2026-01-06 17:30:00;1;;;21;
DEPLOYMENT_FAILURE_FIX;2026-01-10 16:45:00;1;;;22;
LINES_OF_CODE;2026-01-01 12:00:00;487;;;;
LINES_OF_CODE;2026-01-02 12:00:00;612;;;;
LINES_OF_CODE;2026-01-03 12:00:00;345;;;;
LINES_OF_CODE;2026-01-04 12:00:00;523;;;;
LINES_OF_CODE;2026-01-05 12:00:00;698;;;;
LINES_OF_CODE;2026-01-06 12:00:00;432;;;;
LINES_OF_CODE;2026-01-07 12:00:00;567;;;;
LINES_OF_CODE;2026-01-08 12:00:00;389;;;;
LINES_OF_CODE_AI;2026-01-01 12:00:00;487;;;;
LINES_OF_CODE_AI;2026-01-02 12:00:00;612;;;;
LINES_OF_CODE_AI;2026-01-03 12:00:00;345;;;;
LINES_OF_CODE_AI;2026-01-04 12:00:00;523;;;;
LINES_OF_CODE_AI;2026-01-05 12:00:00;698;;;;
LINES_OF_CODE_AI;2026-01-06 12:00:00;432;;;;
LINES_OF_CODE_AI;2026-01-07 12:00:00;567;;;;
LINES_OF_CODE_AI;2026-01-08 12:00:00;389;;;;
COMMIT;2026-01-01 12:15:00;1;a1b2c3d;;;
COMMIT;2026-01-02 12:30:00;1;e4f5g6h;;;
COMMIT;2026-01-03 12:10:00;1;i7j8k9l;;;1
COMMIT;2026-01-04 12:20:00;1;m1n2o3p;;;
COMMIT;2026-01-05 12:45:00;1;q4r5s6t;;;
COMMIT;2026-01-06 12:05:00;1;u7v8w9x;;;1
COMMIT;2026-01-07 12:25:00;1;y1z2a3b;;;
COMMIT;2026-01-08 12:35:00;1;c4d5e6f;;;
AI_SUGGESTION_RESULT;2026-01-01 14:00:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-01 14:15:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-02 14:30:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-02 14:45:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-03 14:10:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-03 14:20:00;0;;;;
AI_SUGGESTION_RESULT;2026-01-04 14:35:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-04 14:50:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-05 14:05:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-05 14:25:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-05 14:40:00;0;;;;
AI_SUGGESTION_RESULT;2026-01-06 14:15:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-06 14:30:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-07 14:20:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-07 14:45:00;0;;;;
AI_SUGGESTION_RESULT;2026-01-08 14:10:00;1;;;;
AI_SUGGESTION_RESULT;2026-01-08 14:35:00;1;;;;
